Incumbency,Candidate in GE24,Elected in GE24,Title,First Name,Surname,Gender,Consituency,Party Full,mean_pitch_hz,min_pitch_hz,max_pitch_hz,,,
N,Y,Y,Cllr,Jen,Cummins,F,Dublin South Central,Social Democrats,189.49,94.81,390.92,,,
N,Y,N,,Aisling ,Considine,F,Dublin South Central,Aontu,222.73,74.95,497.27,,,
N,Y,Y,Cllr,Maire ,Devine,F,Dublin South Central,Sinn Fein,225.29,85.73,431.32,,,
N,Y,N,Senator,Mary ,Seary-Kearney,F,Dublin South Central,Fine Gael,214.94,77.16,496.49,,,
N,Y,Y,Senator,Catherine,Ardagh,F,Dublin South Central,Fianna Fail,201.07,76.93,304.27,,,
N,Y,N,,Rebecca ,Hendrick,F,Dublin South Central,Independent Ireland,,,,,,
N,Y,N,,Jina,Aherne,F,Dublin South Central,The Irish People,227.13,74.94,499.32,,,
N,Y,N,,Dolores,Webster,F,Dublin South Central,Independent,147.96,75.27,288.72,,,
N,Y,N,Cllr,Teresa,Costello,F,Dublin South-West,Fianna Fail,147.53,75.23,436.41,,,
N,Y,N,Cllr,Niamh ,Whelan,F,Dublin South-West,Sinn Fein,236.03,76.03,498.55,,,
N,Y,N,,Saoirse,Ni Chonarain,F,Dublin South-West,Aontu,,,,,,
N,Y,N,Cllr,Sarah,Barnes,F,Dublin South-West,Fine Gael,186.03,117.37,496.34,,,
N,Y,N,Cllr,Ellen ,Troy,F,Dublin West,Aontu,278,79.49,499.63,,,
N,Y,N,Cllr,Breda,Hanaphy,F,Dublin West,Sinn Fein,155.42,85.15,408.41,,,
N,Y,N,,Ellen ,Murphy,F,Dublin West,Social Democrats,190.86,76.71,494.82,,,
N,Y,N,,Lorna,Nolan,F,Dublin West,Fianna Fail,,,,,,
N,Y,Y,Senator,Emer,Currie,F,Dublin West,Fine Gael,182.9,75.19,466.44,,,
N,Y,N,Cllr,Tania,Doyle,F,Dublin West,Independent,203.37,76.09,453.38,,,
N,Y,N,,Susanne,Delaney,F,Dublin West,Independent,341.89,81.3,498.36,,,
N,Y,N,,Natalie,Tracey,F,Dublin West,Independent,220.84,96.61,489.57,,,
N,Y,Y,Cllr,Ruth ,Coppinger,F,Dublin West,Solidarity - People Before Profit,192.94,77.02,484.4,,,
Y,Y,Y,Deputy,Jennifer ,Carroll MacNeill,F,Dun Laoghaire,Fine Gael,180.09,75.02,472.44,,,
N,Y,N,Cllr,Martha,Fanning,F,Dun Laoghaire,Labour,253,95.78,487.98,,,
N,Y,N,,Mairead,Toibin,F,Dun Laoghaire,Aontu,214.6,75.02,497.27,,,
N,Y,N,,Cathy,Lynch,F,Dun Laoghaire,Independent,161.79,92.76,494.44,,,
Y,Y,N,Deputy,Anne ,Rabbitte,F,Galway East,Fianna Fail,195.69,81.02,414.23,,,
N,Y,N,Cllr,Clodagh ,Higgins,F,Galway East,Fine Gael,185.22,74.99,482.66,,,
N,Y,N,,Niamh ,Madden,F,Galway East,Fine Gael,190.12,75.45,471.32,,,
Y,Y,Y,Deputy,Catherine ,Connolly,F,Galway West,Independent,180.81,79.7,475.64,,,
Y,Y,Y,Deputy,Mairead,Farrell,F,Galway West,Sinn Fein,220.05,157.02,489.81,,,
Y,Y,Y,Deputy,Hildegarde,Naughton,F,Galway West,Fine Gael,176.89,75.57,401.28,,,
N,Y,N,Senator,Pauline ,O'Reilly,F,Galway West,Green Party,184.81,75,486.4,,,
N,Y,N,,Grainne ,Seoige,F,Galway West,Fianna Fail,198.07,77.17,408.6,,,
N,Y,N,,Maisie,McMaster,F,Galway West,Solidarity - People Before Profit,222.54,92.08,490.65,,,
N,Y,N,Cllr,Helen ,Ogbu,F,Galway West,Labour,185.78,120.22,491.01,,,
N,Y,N,Cllr,Eibhlin,Seoighthe,F,Galway West,Social Democrats,,,,,,
