Candidate Name,Party,Constituency,Vocal Pitch (Hz),Source,Time Stamp,URL,,,,,
Elaine Dunne,Fianna Fail,Dublin Rathdown,184.01,Facebook video (party account),0:00-0:33 s,https://www.facebook.com/watch/?v=417167677479299,,,,,
Maeve O'Connell,Fine Gael,Dublin Rathdown,210.95,Facebook video (personal account),0:00-0:20 s,https://www.facebook.com/reel/1590863044865837,,,,,
Catherine Martin,Green,Dublin Rathdown,213.33,News interview,0:22-0:57 s,https://www.independent.ie/irish-news/elections-2024/its-a-very-disappointing-day-for-the-green-party-says-deputy-green-party-leader-catherine-martin/a1293590666.html,,,,,
Lettie McCarthy,Labour,Dublin Rathdown,181.22,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/LettieMcCarthy/videos/222023748828426/,,,,,
Sinéad Gibney,Social Democrats,Dublin Rathdown,227.79,Youtube video (dail speech),0:10-0:42 s,https://www.youtube.com/watch?v=1zAmnf2GyqU,,,,,
Síomha Ní Aonghusa,PBP-Solidarity ,Dublin Rathdown,159.03,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/reel/1285540742786218,,,,,
Catherine Ardagh,Fianna Fail,Dublin South-Central,201.07,Facebook video (party account),0:00-0:33 s,https://www.facebook.com/fiannafail/videos/1069108384697784/,,,,,
Máire Devine,Sinn Fein,Dublin South-Central,225.29,Facebook video (dail speech),0:00-0:32 s,https://www.facebook.com/watch/?v=641727082232573,,,,,
Mary Seery Kearney,Fine Gael,Dublin South-Central,214.94,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/watch/?v=1092456019225987,,,,,
Jen Cummins,Social Democrats,Dublin South-Central,189.49,Facebook video (personal account),0:00-0:27 s,https://www.facebook.com/watch/?v=1879805992591605,,,,,
Hazel De Nortúin,PBP-Solidarity ,Dublin South-Central,151.84,TikTok video (party account),0:00-0:32 s,https://www.tiktok.com/@peoplebeforeprofit/video/7426424740518186243,,,,,
Rebecca Hendrick,Independent Ireland,Dublin South-Central,,(can't find videos on initial search),,,,,,,
Aisling Considine,Aontú,Dublin South-Central,222.73,Youtube video (party account),0:00-0:34 s,https://www.youtube.com/watch?v=_PsHb71P0gI,,,,,
Dolores Webster,Independent,Dublin South-Central,147.96,TikTok video (personal account),0:00-0:30 s,https://www.tiktok.com/@dee14815/video/7429877402697878787,,,,,
